full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT
    1P/Halley,0.9679,575,162.20,59.07,112.21,35.28,1986-02-08.1,75.9,HTC,57852,0,8518,,4.9e-10,1.6e-10,,
    2P/Encke,0.8484,337,11.48,334.29,187.03,4.10,2023-10-21.6,3.31,ETc,2133,1,570,,3.2e-10,7.3e-12,,
    3D/Biela,0.7513,879,13.22,250.67,221.66,6.19,1832-11-26.6,6.65,JFc,,,26,,3.9e-09,-2.5e-10,,
    5D/Brorsen,0.8098,590,29.38,102.97,14.95,5.61,1879-03-31.0,5.46,JFc,,,127,,1.3e-08,1.3e-09,,
    7P/Pons-Winnecke,0.6376,1239,22.33,93.42,172.51,5.60,2015-01-30.5,6.32,JFc,37122,0,1679,,6.4e-11,-5.2e-12,-1.0e-10,150
    8P/Tuttle,0.8198,1027,54.98,270.34,207.51,10.37,2008-01-27.0,13.6,JFC,20161,0,1768,,4.2e-10,-1.7e-11,-4.6e-11,67.5
   12P/Pons-Brooks,0.9546,781,74.19,255.86,198.99,33.59,2024-04-21.1,71.2,HTC,26006,0,8017,,,,,
   13P/Olbers,0.9298,1170,44.63,85.84,64.58,32.16,2024-06-30.6,68,HTC,50051,0,2184,,2.1e-09,5.9e-10,,
   15P/Finlay,0.7202,977,6.80,13.75,347.63,6.00,2014-12-27.0,6.52,JFc,5058,0,1655,,2.2e-09,-2.3e-10,1.6e-09,
   18D/Perrine-Mrkos,0.6426,1272,17.76,240.88,166.05,5.85,1968-11-01.5,6.72,JFc,2584,1,16,,,,,
